EntityID,ModelType,StartingResources,GrowthRate,Efficiency,InnovationFactor,MarketAdaptability,CompetitivePressure,SurvivalTime,ShocksExperienced,FinalResourceBalance,InvestmentReturn,PolicyImpact,RollingVolatility,BaseRiskExposure,WeightedRiskExposure,SustainabilityScore,ReinforcementSignal,RiskManagementScore,AdaptationIndex,ResourceVolatilityIndex,RelativeAdaptationIndex
IGM_00001,IGM,28450,0.0577,0.5912,0.6315,0.7383,0.7081,23,0,0,323.91,-145.13,2.0341,0.0236,0.0715,0.068,-0.0035,13.5974,0.4662,1.0,1.2373
IGM_00002,IGM,25694,0.1101,0.4947,0.1486,0.9134,0.7903,18,0,0,544.65,95.03,1.9997,0.0556,0.1668,0.0445,-0.1223,8.9053,0.1357,1.0,0.3601
IGM_00003,IGM,22305,0.1148,0.5778,0.6071,0.7388,1.4853,23,0,0,0.0,-2.99,1.956,0.0485,0.1432,0.0664,-0.0768,13.2889,0.4486,1.0,1.1906
IGM_00004,IGM,20378,0.0605,0.4425,0.1041,0.9355,1.2054,13,0,0,0.0,-101.16,1.9368,0.0337,0.0991,0.0288,-0.0703,5.753,0.0973,1.0,0.2582
IGM_00005,IGM,29234,0.0936,0.5916,0.09,0.746,1.0533,24,0,0,849.93,-0.64,1.9958,0.0382,0.1146,0.071,-0.0436,14.1976,0.0672,1.0,0.1783
IGM_00006,IGM,27485,0.0612,0.4284,0.0583,0.5222,1.0298,14,0,0,71.07,0.57,2.0658,0.035,0.1072,0.03,-0.0772,5.9983,0.0304,1.0,0.0807
IGM_00007,IGM,27054,0.1036,0.5275,0.4003,0.6003,1.3299,20,0,0,0.0,14.21,2.0479,0.049,0.1492,0.0528,-0.0965,10.5507,0.2403,1.0,0.6378
IGM_00008,IGM,26638,0.0762,0.3437,0.8862,0.8552,0.9206,11,0,0,0.12,0.0,2.0084,0.05,0.1505,0.0189,-0.1316,3.7811,0.7579,1.0,2.0114
IGM_00009,IGM,25643,0.0655,0.3718,0.7744,0.6377,0.8803,12,0,0,0.0,0.49,2.0585,0.0411,0.1258,0.0223,-0.1035,4.4616,0.4938,1.0,1.3105
IGM_00010,IGM,28230,0.1004,0.4414,0.1319,0.643,0.6551,15,0,0,1024.2,-11.74,2.0008,0.0561,0.1683,0.0331,-0.1352,6.6214,0.0848,1.0,0.2251
IGM_00011,IGM,29289,0.0848,0.4638,0.1038,0.9668,1.3327,16,0,0,1.08,0.0,2.0683,0.0455,0.1395,0.0371,-0.1024,7.4205,0.1003,1.0,0.2662
IGM_00012,IGM,27474,0.0714,0.4589,0.3026,0.5126,1.076,15,0,0,0.0,0.0,2.0055,0.0386,0.1162,0.0344,-0.0817,6.8839,0.1551,1.0,0.4116
IGM_00013,IGM,29962,0.0795,0.4675,0.0909,0.6009,0.6884,16,0,0,11.45,157.11,2.0682,0.0423,0.1299,0.0374,-0.0925,7.4807,0.0546,1.0,0.1449
IGM_00014,IGM,23256,0.1014,0.4485,0.2498,0.8731,1.2283,15,0,0,0.0,-1.69,2.0108,0.0559,0.1683,0.0336,-0.1347,6.727,0.2181,1.0,0.5788
IGM_00015,IGM,26933,0.0753,0.4181,0.2454,0.6693,1.1106,13,0,0,40.57,22.02,1.9761,0.0438,0.1304,0.0272,-0.1032,5.4356,0.1643,1.0,0.436
IGM_00016,IGM,23880,0.0954,0.4085,0.111,0.7509,1.1947,13,0,0,0.0,-41.58,1.9765,0.0564,0.1679,0.0266,-0.1414,5.3102,0.0834,1.0,0.2213
IGM_00017,IGM,28761,0.0532,0.5145,0.6146,0.7824,1.4564,17,0,0,0.0,447.53,1.9891,0.0258,0.0772,0.0437,-0.0335,8.7464,0.4808,1.0,1.276
IGM_00018,IGM,25408,0.0776,0.566,0.3145,0.8069,1.32,21,0,0,516.26,14.45,1.9952,0.0337,0.1008,0.0594,-0.0414,11.8858,0.2538,1.0,0.6736
IGM_00019,IGM,26904,0.0513,0.4666,0.1251,0.5352,1.1138,15,0,0,0.0,-1.45,2.019,0.0273,0.0825,0.035,-0.0475,6.9986,0.067,1.0,0.1778
IGM_00020,IGM,22007,0.0677,0.3852,0.4114,0.6433,0.6622,12,0,0,518.06,-1.46,1.9696,0.0416,0.1235,0.0231,-0.1004,4.6224,0.2647,1.0,0.7025
IGM_00021,IGM,22457,0.0625,0.4234,0.1471,0.6638,0.9029,13,0,0,0.0,-1.93,1.9683,0.0361,0.107,0.0275,-0.0795,5.5048,0.0976,1.0,0.259
IGM_00022,IGM,25489,0.066,0.4889,0.4757,0.9727,0.9428,17,0,0,0.0,1.72,2.0509,0.0338,0.103,0.0416,-0.0614,8.3112,0.4627,1.0,1.228
IGM_00023,IGM,24566,0.0778,0.5159,0.1949,0.6561,1.4211,18,0,0,0.0,238.83,2.0551,0.0377,0.1151,0.0464,-0.0686,9.2859,0.1279,1.0,0.3394
IGM_00024,IGM,21813,0.0792,0.5537,0.7796,0.7598,0.6737,20,0,0,0.0,-149.07,1.9881,0.0354,0.1056,0.0554,-0.0503,11.0749,0.5923,1.0,1.572
IGM_00025,IGM,27712,0.0782,0.4212,0.1587,0.6183,1.0019,14,0,0,10.73,1217.24,1.9907,0.0453,0.1354,0.0295,-0.1059,5.8971,0.0982,1.0,0.2606
IGM_00026,IGM,26481,0.071,0.4254,0.8686,0.6995,0.8562,14,0,0,0.11,-16.73,2.0461,0.0408,0.1243,0.0298,-0.0945,5.956,0.6076,1.0,1.6126
IGM_00027,IGM,24081,0.0598,0.3028,0.8268,0.5877,0.6863,10,0,0,395.58,0.0,1.9954,0.0417,0.125,0.0151,-0.1098,3.0283,0.486,1.0,1.2898
IGM_00028,IGM,25053,0.1026,0.3764,0.415,0.7066,1.3984,13,0,0,2458.95,927.05,1.9042,0.064,0.1859,0.0245,-0.1614,4.8936,0.2932,1.0,0.7781
IGM_00029,IGM,28836,0.0668,0.5089,0.2428,0.6923,0.5829,17,0,0,0.0,-129.88,2.0497,0.0328,0.1,0.0433,-0.0567,8.6517,0.1681,1.0,0.4461
IGM_00030,IGM,23550,0.0596,0.4004,0.6155,0.5108,1.2042,12,0,0,0.0,1049.9,1.8956,0.0358,0.1036,0.024,-0.0795,4.8046,0.3144,1.0,0.8344
IGM_00031,IGM,21112,0.0987,0.3348,0.6778,0.854,0.7926,10,0,0,15.68,-0.25,1.9075,0.0656,0.1908,0.0167,-0.1741,3.3476,0.5789,1.0,1.5364
IGM_00032,IGM,21233,0.1094,0.5231,0.1526,0.619,0.9439,19,0,0,0.0,-487.38,2.0533,0.0522,0.1593,0.0497,-0.1096,9.9398,0.0944,1.0,0.2505
IGM_00033,IGM,28697,0.0651,0.5186,0.4536,0.5692,0.5426,18,0,0,673.44,64.93,1.9873,0.0313,0.0936,0.0467,-0.0469,9.3345,0.2582,1.0,0.6853
IGM_00034,IGM,21116,0.0703,0.4844,0.0521,0.7573,0.5002,16,0,0,0.0,131.84,2.0381,0.0362,0.11,0.0388,-0.0713,7.751,0.0395,1.0,0.1048
